T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.125La0.375K0.125Y0.375Ti1,2.21638,2.1531
Sr0.125La0.375K0.25Sm0.25Ti1,2.19095,2.13224
Sr0.125La0.375K0.25Y0.25Ti1,2.17222,2.11383
Sr0.125La0.375Sm0.5Fe0.625Ti0.375,2.61224,2.49276
Sr0.125La0.375Sm0.5Ni0.625Ti0.375,2.58558,2.46232
Sr0.125La0.5K0.125Sm0.25Ti1,2.2772,2.21977
Sr0.125La0.5K0.125Y0.25Ti1,2.25846,2.20136
Sr0.125La0.5K0.25Sm0.125Ti1,2.21084,2.15842
Sr0.125La0.5K0.25Y0.125Ti1,2.19211,2.14001
Sr0.125La0.625K0.125Sm0.125Ti1,2.2973,2.23865
Sr0.125La0.625K0.125Y0.125Ti1,2.29141,2.23417
Sr0.125La0.75K0.125Co0.25.75,1.98633,1.91148
Sr0.125La0.75K0.125Cu0.25.75,1.98633,1.91148
Sr0.125La0.75K0.125Mg0.25.75,1.98633,1.91148
Sr0.125La0.75K0.125Mn0.25.75,1.98633,1.91148
Sr0.125La0.75K0.125Ni0.25.75,1.98633,1.91148
Sr0.125La0.875Co0.125Mg0.5Ti0.375,2.64198,2.51638
Sr0.125La0.875Cu0.125Mg0.5Ti0.375,2.64198,2.51638
Sr0.125La0.875Fe0.125Mg0.5Ti0.375,2.67667,2.55719
Sr0.125La0.875Mg0.5Ni0.125Ti0.375,2.64198,2.51638
Sr0.125La0.875Mn0.125Mg0.5Ti0.375,2.71525,2.58749
Sr0.125Sm0.875Co0.125Mg0.5Ti0.375,2.7182,2.59599
Sr0.125Sm0.875Co0.125Mn0.625Ti0.25,2.31302,2.17254
Sr0.125Sm0.875Co0.25Mn0.5Ti0.25,2.15086,2.01116
Sr0.125Sm0.875Co0.375Mn0.375Ti0.25,2.04765,1.90589
Sr0.125Sm0.875Co0.5Mn0.25Ti0.25,2.00551,1.85615
Sr0.125Sm0.875Co0.625Mn0.125Ti0.25,2.0554,1.90563
Sr0.125Sm0.875Co0.625Ni0.125Ti0.25,1.99628,1.84292
Sr0.125Sm0.875Cu0.125Mn0.625Ti0.25,2.30735,2.16669
Sr0.125Sm0.875Fe0.125Co0.125Ti0.25,2.13017,1.9953
Sr0.125Sm0.875Fe0.125Co0.625Ti0.25,2.51608,2.36102
Sr0.125Sm0.875Fe0.125Cu0.125Ti0.25,2.12007,1.98909
Sr0.125Sm0.875Fe0.125Mg0.125Ti0.25,2.13635,2.00121
Sr0.125Sm0.875Fe0.125Mn0.125Ti0.25,2.33096,2.19826
