T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.375La0.25Sm0.375Co0.625Ti0.375,2.44522,2.47953,2.51384,2.31342,2.33381,2.35419
Ba0.375La0.25Sm0.375Mg0.625Ti0.375,2.18938,2.29326,2.39714,2.05823,2.14975,2.24126
Ba0.375La0.25Sm0.375Mn0.625Ti0.375,2.41427,2.48205,2.54984,2.2788,2.33528,2.39175
Ba0.375La0.25Sm0.375Ni0.625Ti0.375,2.24254,2.34402,2.4455,2.10765,2.19698,2.28633
Ba0.375La0.25Y0.375Mg0.625Ti0.375,2.04023,2.30865,2.57706,1.9158,2.16746,2.41912
Ba0.375La0.375Sm0.25Fe0.5Ti0.5,2.36952,2.55233,2.73514,2.23295,2.40476,2.57656
Ba0.375La0.375Sm0.25Mg0.625Ti0.375,2.24076,2.44574,2.65071,2.1158,2.30562,2.49543
Ba0.375La0.375Sm0.25Ni0.625Ti0.375,2.26136,2.48935,2.71735,2.13495,2.34641,2.55788
Ba0.375La0.375Y0.25Mg0.625Ti0.375,2.22103,2.42374,2.62645,2.09666,2.2839,2.47114
Ba0.375La0.375Y0.25Ni0.625Ti0.375,2.26483,2.47273,2.68063,2.13811,2.32968,2.52126
Ba0.375La0.5K0.125Co0.625Ti0.375,2.11129,2.35402,2.59675,1.97398,2.20471,2.43561
Ba0.375La0.5Sm0.125Co0.625Ti0.375,2.48196,2.58106,2.68017,2.35006,2.43284,2.51562
Ba0.375La0.5Sm0.125Mg0.625Ti0.375,2.07259,2.31517,2.55776,1.94803,2.17613,2.40423
Ba0.375La0.5Sm0.125Ni0.625Ti0.375,2.18104,2.43708,2.69313,2.05177,2.29273,2.53369
Ba0.375La0.5Y0.125Co0.625Ti0.375,2.48196,2.58106,2.68017,2.35006,2.43284,2.51562
Ba0.375La0.5Y0.125Mg0.625Ti0.375,2.07259,2.31517,2.55776,1.94803,2.17613,2.40423
Ba0.375La0.5Y0.125Ni0.625Ti0.375,2.18104,2.43708,2.69313,2.05177,2.29273,2.53369
Ba0.375La0.625Co0.125Cu0.5Ti0.375,2.04628,2.05941,2.07254,1.91324,1.91506,1.91689
Ba0.375La0.625Co0.25Cu0.375Ti0.375,2.06764,2.06301,2.05839,1.93417,1.91896,1.90375
Ba0.375La0.625Co0.5Cu0.125Ti0.375,2.54243,2.61366,2.68489,2.40813,2.46939,2.53065
Ba0.375La0.625Co0.5Mg0.125Ti0.375,2.54243,2.61366,2.68489,2.40813,2.46939,2.53065
Ba0.375La0.625Co0.5Mn0.125Ti0.375,2.50437,2.57197,2.63957,2.37056,2.42634,2.48212
Ba0.375La0.625Co0.5Ni0.125Ti0.375,2.54243,2.61366,2.68489,2.40813,2.46939,2.53065
Ba0.375La0.625Cu0.125Mg0.5Ti0.375,2.41071,2.57248,2.73426,2.28105,2.43171,2.58236
Ba0.375La0.625Cu0.375Mg0.25Ti0.375,2.06764,2.06301,2.05839,1.93417,1.91896,1.90375
Ba0.375La0.625Cu0.375Mn0.25Ti0.375,2.06764,2.06301,2.05839,1.93417,1.91896,1.90375
Ba0.375La0.625Cu0.375Ni0.25Ti0.375,2.06764,2.06301,2.05839,1.93417,1.91896,1.90375
Ba0.375La0.625Cu0.5Mg0.125Ti0.375,2.04628,2.05941,2.07254,1.91324,1.91506,1.91689
Ba0.375La0.625Cu0.5Mn0.125Ti0.375,2.04628,2.05941,2.07254,1.91324,1.91506,1.91689
